index,refTld
az,22
bialystok.pl,22
if.ua,22
bel.tr,22
blogspot.de,22
fo,21
zp.ua,21
club,20
ar,20
sy,20
qld.gov.au,20
blogspot.fr,19
gov.ps,19
matsudo.chiba.jp,19
uy,18
edu.tw,18
kagawa.jp,18
ge,18
oita.jp,18
mb.ca,17
cm,17
ph,16
github.io,16
com.tw,16
githubusercontent.com,16
br,16
or.id,16
com.tn,15
ne.jp,15
ac.za,15
lk,15
verona.it,15
kommune.no,15
pe,15
aero,15
edu.my,15
com.mt,14
gr.jp,14
co.ug,14
edu.tr,14
al,13
sm,13
org.br,13
ac.nz,13
com.pl,13
bzh,13
gl,13
police.uk,13
msk.ru,12
vn,12
com.gh,12
co.in,12
gov.ru,12
pa.us,11
fi.it,11
dj,11
com.do,11
art.pl,11
hn,11
gov.ma,11
scot,11
com.co,11
kr,10
gov.za,10
gov.sg,10
asso.fr,10
nhs.uk,10
gov.it,10
nrw,10
com.pe,10
nj.us,9
org.ar,9
ed.jp,9
net.ua,9
ac.in,9
ps,9
tk,9
tas.gov.au,9
ng,9
com.na,9
spb.ru,9
sa.gov.au,9
gov.rs,8
gov.pt,8
ra.it,8
com.hk,8
kanagawa.jp,8
gov.my,8
рф,8
blogspot.com.es,8
uz,8
gov.bn,8
dz,8
ba,8
com.lb,8
pw,7
pf,7
parliament.nz,7
gov.cy,7
cv,7
arezzo.it,7
co.tz,7
or.kr,7
gov.mo,7
ac.rs,7
hk,7
mu,7
bc.ca,7
gob.ni,7
mobi,7
utsunomiya.tochigi.jp,7
edu.co,7
com.ph,7
koeln,6
travel,6
com.ve,6
com.ng,6
ac.be,6
ac.kr,6
ink,6
lviv.ua,6
blogspot.se,6
tn,6
pk,6
pro,6
ao,6
co.th,6
press,6
co.ao,6
pe.ca,5
com.mk,5
com.sa,5
name,5
edu.uy,5
re,5
kamakura.kanagawa.jp,5
com.bz,5
gub.uy,5
ac.id,5
ab.ca,5
cs.it,5
warszawa.pl,5
edu.br,5
nagahama.shiga.jp,5
gov.ge,5
pro.br,5
kg,5
net.nz,5
hm,5
blogspot.com.br,5
com.pa,5
taipei,5
gov.eg,5
wy.us,5
blogspot.nl,5
tuxfamily.org,5
ac.cn,5
gob.ve,5
kochi.kochi.jp,5
gov.lk,4
blogspot.ca,4
ad,4
edu.lb,4
no.it,4
tokushima.jp,4
s3.amazonaws.com,4
gob.ec,4
aq,4
gi,4
blogspot.ro,4
blogspot.ru,4
lu.it,4
mc,4
appspot.com,4
gov.kh,4
mk,4
my,4
mz,4
brescia.it,4
sn,4
or.th,4
in.ua,4
org.mt,4
gob.bo,4
je,4
kharkov.ua,4
li,4
gov.co,4
me.uk,4
ac.ru,4
sumy.ua,4
mil.za,4
arts.ro,4
mil.ru,4
org.zm,4
gov.tn,4
com.vn,4
mn.us,4
com.fj,4
co.im,4
bz,4
toyama.jp,4
cologne,4
mus.br,3
com.pg,3
gov.gr,3
com.py,3
gov.kz,3
co.zw,3
res.in,3
blogspot.gr,3
lombardia.it,3
net.kw,3
co.cr,3
org.bz,3
edu.sg,3
livorno.it,3
blogspot.ch,3
bw,3
nv.us,3
mil.lv,3
org.hk,3
com.mo,3
gov.ye,3
com.ni,3
cab,3
go.tz,3
bo,3
edu.ph,3
xyz,3
gov.lt,3
alessandria.it,3
nf.ca,3
firenze.it,3
com.ge,3
blogspot.com.by,3
blogspot.am,3
milano.it,3
gm,3
pr,3
gov.mn,3
la,3
edu.gh,3
go.cr,3
edu.mt,3
tl,2
sg,2
org.pe,2
sz,2
tw,2
ga,2
sx,2
service.gov.uk,2
com.mv,2
vu,2
film.hu,2
com.ec,2
gov.ve,2
org.ph,2
mil.pl,2
gov.et,2
ac.ke,2
co.sz,2
mn,2
tx.us,2
minamiashigara.kanagawa.jp,2
media,2
muni.il,2
cx,2
film,2
org.do,2
ma.us,2
fed.us,2
com.al,2
cg,2
co.tt,2
gov.mm,2
eg,2
ac.th,2
gal,2
gov.bf,2
net.tr,2
ak.us,2
pe.kr,2
org.ge,2
gov.bs,2
gov.gh,2
co.zm,2
googleapis.com,2
bs.it,2
idf.il,2
solutions,2
biz.ua,2
krakow.pl,2
gov.zm,2
gov.jm,2
bz.it,2
com.bd,2
com.sg,2
coop,2
pictet,2
crimea.ua,2
gov.af,2
edu.hk,2
presse.fr,2
gov.ba,2
gob.pa,2
gov.bd,2
rocks,2
eu.com,2
gov.pk,2
today,2
edu.ar,2
bytom.pl,2
co.ua,2
amazonaws.com,2
org.sz,2
gov.bt,1
to.it,1
com.kw,1
ehime.jp,1
poznan.pl,1
gov.bb,1
gov.cl,1
k12.ny.us,1
leg.br,1
cd,1
com.gt,1
zone,1
gouv.ci,1
ve,1
org.na,1
alsace,1
ancona.it,1
tv.it,1
dyndns.org,1
ac.me,1
gov.bz,1
gov.tl,1
ngo,1
ci,1
edu.ru,1
sk.ca,1
gob.hn,1
blogspot.cz,1
org.in,1
asn.au,1
com.np,1
co.us,1
info.hu,1
ms.us,1
gouv.sn,1
edu.cn,1
cloudapp.net,1
co.ck,1
katowice.pl,1
com.qa,1
wi.us,1
blogspot.com.au,1
gov.gi,1
gov.gy,1
blogspot.com.ar,1
yolasite.com,1
gov.tt,1
community,1
gov.rw,1
donetsk.ua,1
ruhr,1
asti.it,1
org.co,1
nyc,1
pp.ua,1
gov.ng,1
rzeszow.pl,1
gov.nc.tr,1
edu.eg,1
wroc.pl,1
co.na,1
gob.gt,1
org.gr,1
com.ru,1
website,1
od.ua,1
blogspot.bg,1
toscana.it,1
ns.ca,1
ac.ae,1
net.in,1
fukuoka.jp,1
tr.it,1
wf,1
org.rs,1
gob.pe,1
news,1
ug,1
bf,1
london,1
rnu.tn,1
tj,1
maori.nz,1
info.pl,1
gov.az,1
mk.ua,1
mi.us,1
nsw.edu.au,1
gov.qa,1
jan-mayen.no,1
gov.ae,1
amsterdam,1
org.lv,1
mo.it,1
net.br,1
or.us,1
go.ug,1
ca.us,1
gov.zw,1
cloudfront.net,1
blog,1
com.bo,1
dn.ua,1
com.sv,1
or.ke,1
glasgow.sch.uk,1
bb,1
bh,1
org.uy,1
blogspot.hk,1
us-east-1.elb.amazonaws.com,1
gov.mk,1
ls,1
ly,1
org.mk,1
հայ,1
nt.ca,1
na,1
nr,1
dp.ua,1
bi,1
ce.it,1
edu.pe,1
edu.pk,1
gen.nz,1
media.pl,1
download,1
ath.cx,1
gg,1
tr,1
gs,1
gov.ml,1
istanbul,1
gov.vn,1
gov.vc,1
tn.it,1
sr,1
org.py,1
org.bt,1
do,1
co.at,1
s3-website-us-east-1.amazonaws.com,1
ag.it,1
blogspot.in,1
blogspot.it,1
nat.tn,1
or.at,1
corsica,1
net.pl,1
isen.kagoshima.jp,1
brussels,1
marche.it,1
dreamhosters.com,1
mg,1
ac.lk,1
edu.gr,1
nl.ca,1
